name;line_id;station_id;Geo Shape;type;num_docks_available;is_installed;date_installed;price;price_navigo;web;project_owner;zdcld;zdcname;insee_code;municipality;x_long;y_lat;Geo Point;Column 45
HERBLAY;TRAIN J;661;"{""coordinates"": [2.161359, 48.990785], ""type"": ""Point""}";consigne;82;true;2021;30 €;0 €;https://velo.valparisis.fr/;CA - Val Parisis;65897;Herblay;95306;Herblay-sur-Seine;2.161359;48.990785;48.990785, 2.161359;
ISSOU-PORCHEVILLE;TRAIN J;231;"{""coordinates"": [1.783973443, 48.97929226], ""type"": ""Point""}";abri;20;true;2019;;NC;NC;SNCF;65668;Issou - Porcheville;78314;Issou;1.783973443;48.97929226;48.97929226, 1.783973443;
IVRY-SUR-SEINE;RER C;889;"{""coordinates"": [2.390957, 48.814137], ""type"": ""Point""}";abri;54;true;2024;;NC;NC;SNCF;424396;Ivry-sur-Seine;94041;Ivry-sur-Seine;2.390957;48.814137;48.814137, 2.390957;
JUZIERS;TRAIN J;348;"{""coordinates"": [1.845134448, 48.99224125], ""type"": ""Point""}";consigne;5;true - non labellisé;2021;;NC;NC;CU Grand Paris Seine et Oise;65988;Juziers;78327;Juziers;1.845134448;48.99224125;48.99224125, 1.845134448;
LA CELLE-SAINT-CLOUD;TRAIN L;353;"{""coordinates"": [2.1381, 48.8429], ""type"": ""Point""}";consigne;12;true;2019;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;64251;La Celle-Saint-Cloud;78126;La Celle-Saint-Cloud;2.1381;48.8429;48.8429, 2.1381;
LA VERRIERE;TRAIN N,TRAIN U;717;"{""coordinates"": [1.942694, 48.755472], ""type"": ""Point""}";abri;16;true;2024;;NC;NC;CA - Saint-Quentin-en-Yvelines;63426;La Verrière;78644;La Verrière;1.942694;48.755472;48.755472, 1.942694;
LAPLACE;RER B;733;"{""coordinates"": [2.33275819, 48.8078614], ""type"": ""Point""}";abri;42;true;2024;;NC;NC;RATP;70427;Laplace;94003;Arcueil;2.33275819;48.8078614;48.8078614, 2.33275819;
LE BOURGET;RER B,TRAM 11;1022;"{""coordinates"": [2.426038151, 48.93098908], ""type"": ""Point""}";consigne;60;true;2022;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;72641;Le Bourget;93013;Le Bourget;2.426038151;48.93098908;48.93098908, 2.426038151;
JUVISY;RER C,RER D;185;"{""coordinates"": [2.382251, 48.691457], ""type"": ""Point""}";consigne;72;true;2018;30 €;0 €;https://idf-mobilites.fr/coeures-parking-velos;IDFM;478505;Juvisy;91326;Juvisy-sur-Orge;2.382251;48.691457;48.691457, 2.382251;
LE RAINCY - VILLEMOMBLE - MONTFERMEIL;RER E;604;"{""coordinates"": [2.511463, 48.88937], ""type"": ""Point""}";consigne;40;true;2022;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;73297;Le Raincy - Villemomble - Montfermeil;93062;Le Raincy;2.511463;48.88937;48.88937, 2.511463;
